story_id,area,feature,user_story,expected_behavior_from_code,source_evidence,test_approach,story_status,initial_test_status,initial_errors,fix_status,retest_status,notes,row_type,parent_story_id,parent_feature,gap_category,priority,user_role,user_impact,acceptance_criteria,implementation_status
CLI-GLOBAL-001,CLI,global help,"As a command-line user, I want `quick --help` or `quick -h` to show command guidance so I can discover the app without side effects.","The root command accepts help aliases and renders the command list/options, then exits successfully.",opencli.json:command.options.help; src/cli/commands.c; src/cli/help.c,Run `zig build run -- --help` and assert usage/options include documented commands.,documented,passed,,not-needed,not-needed,"Validated by `zig build test`, `zig build check`, `zig build -Denable-tui=false`, and `just test-all` (130 C/unit + 36 CLI contract tests passed).",covered,,,,,,,,
CLI-GLOBAL-002,CLI,global version,"As a command-line user, I want `quick --version` to print app version metadata so scripts and humans can identify the build.",The root command accepts `--version` and uses app metadata renderers without requiring a subcommand.,opencli.json:command.options.version; src/core/app_info.c; src/cli/style/cli_version_render.c,Run `zig build run -- --version` and compare version/name with app metadata.,documented,passed,,not-needed,not-needed,"Validated by `zig build test`, `zig build check`, `zig build -Denable-tui=false`, and `just test-all` (130 C/unit + 36 CLI contract tests passed).",covered,,,,,,,,
CLI-GLOBAL-003,CLI,output and verbosity flags,"As an operator or agent, I want `--json`, `--plain`, `--no-color`, `--debug`, `--verbose`, and `--quiet` to control output so automation gets stable data and humans get readable text.",Global flags are part of the OpenCLI contract and influence app config/output styling and logging.,opencli.json:command.options; src/cli/args.c; src/io/output.c; src/utils/logging.c,Run representative commands with each flag and assert output mode/logging behavior.,documented,passed,,not-needed,not-needed,"Validated by `zig build test`, `zig build check`, `zig build -Denable-tui=false`, and `just test-all` (130 C/unit + 36 CLI contract tests passed).",covered,,,,,,,,
CLI-GLOBAL-004,CLI,config path override,"As a user with multiple environments, I want `--config` or `QUICK_CONFIG_PATH` to select a profile config so commands operate on the intended host.",Global config option and env override load profile config from the requested path; missing default config is tolerated by profile loading.,opencli.json:command.options.config; src/cli/commands_openquick.c:quick_cmd_load_profiles; src/core/profile_config.c,Run commands with temp config via `--config`/`QUICK_CONFIG_PATH` and assert selected profile is used.,documented,passed,,not-needed,not-needed,"Validated by `zig build test`, `zig build check`, `zig build -Denable-tui=false`, and `just test-all` (130 C/unit + 36 CLI contract tests passed).",covered,,,,,,,,
CLI-INIT-001,CLI init,initialize current directory,"As a site creator, I want `quick init` to scaffold the current directory so I can start a static site in place.","When no path is supplied, init targets `.` and writes OpenQuick starter files if they do not already conflict.",README.md:CLI table; opencli.json:quick init; src/core/ops.c:quick_op_init,Run `quick init` in a temp empty directory and assert expected files exist.,documented,passed,,not-needed,not-needed,"Validated by `zig build test`, `zig build check`, `zig build -Denable-tui=false`, and `just test-all` (130 C/unit + 36 CLI contract tests passed). Validated by temp-root quickd admin smoke: prepare/activate, list, sites get/delete, domains add/list/remove, public on/off, releases verify, admin stats, mint-dev-token, doctor.",covered,,,,,,,,
CLI-INIT-002,CLI init,initialize named directory,"As a site creator, I want `quick init lunch-vote` to create a new folder so I can scaffold a named site quickly.","Init creates the named directory, normalizes the site name as a DNS label, and records it in quick.json/subdomain.",docs/design/WORKFLOW.md:quick init; src/core/ops.c:quick_op_init; src/core/site_config.c,Run `quick init lunch-vote` in a temp parent and inspect quick.json and file tree.,documented,passed,,not-needed,not-needed,"Validated by `zig build test`, `zig build check`, `zig build -Denable-tui=false`, and `just test-all` (130 C/unit + 36 CLI contract tests passed). Validated by temp-root quickd admin smoke: prepare/activate, list, sites get/delete, domains add/list/remove, public on/off, releases verify, admin stats, mint-dev-token, doctor.",covered,,,,,,,,
CLI-INIT-003,CLI init,blank template,"As a site creator, I want `--template blank` to create a minimal HTML site so I can customize from a small starting point.",Blank template writes static index.html that imports `/_quick/sdk.js` and calls identity defensively.,opencli.json:quick init.options.template; src/core/ops.c:quick_init_blank_html,Run `quick init --template blank demo` and assert index.html contains the blank starter.,documented,passed,,not-needed,not-needed,"Validated by `zig build test`, `zig build check`, `zig build -Denable-tui=false`, and `just test-all` (130 C/unit + 36 CLI contract tests passed). Validated by temp-root quickd admin smoke: prepare/activate, list, sites get/delete, domains add/list/remove, public on/off, releases verify, admin stats, mint-dev-token, doctor.",covered,,,,,,,,
CLI-INIT-004,CLI init,realtime template,"As a site creator, I want `--template realtime` to create a starter demonstrating realtime/identity SDK use.",Realtime template writes a starter page importing `/_quick/sdk.js` and rendering current identity.,opencli.json:quick init.examples; src/core/ops.c:quick_init_realtime_html,Run `quick init --template realtime demo` and inspect starter code.,documented,passed,,not-needed,not-needed,"Validated by `zig build test`, `zig build check`, `zig build -Denable-tui=false`, and `just test-all` (130 C/unit + 36 CLI contract tests passed). Validated by temp-root quickd admin smoke: prepare/activate, list, sites get/delete, domains add/list/remove, public on/off, releases verify, admin stats, mint-dev-token, doctor.",covered,,,,,,,,
CLI-INIT-005,CLI init,site name and profile overrides,"As a site creator, I want `--name` and `--profile` to write explicit metadata so deploy resolves to the desired host/site.","Init writes quick.json with provided name/profile/subdomain, after DNS-label/profile validation.",opencli.json:quick init.options.name/profile; src/core/ops.c:quick_init_write_quick_json,Run init with `--name` and `--profile`; parse quick.json.,documented,passed,,not-needed,not-needed,"Validated by `zig build test`, `zig build check`, `zig build -Denable-tui=false`, and `just test-all` (130 C/unit + 36 CLI contract tests passed). Validated by temp-root quickd admin smoke: prepare/activate, list, sites get/delete, domains add/list/remove, public on/off, releases verify, admin stats, mint-dev-token, doctor.",covered,,,,,,,,
CLI-INIT-006,CLI init,generated agent/API docs,"As an AI-assisted site editor, I want generated AGENTS.md and API docs so future edits follow OpenQuick constraints.","Init writes AGENTS.md, docs/openquick-api.md, .quickignore, quick.json, and index.html.",docs/design/WORKFLOW.md:Generated files; src/core/ops.c:quick_init_agents_md/quick_init_api_md,Run init and assert all documented generated files exist with expected guidance.,documented,passed,,not-needed,not-needed,"Validated by `zig build test`, `zig build check`, `zig build -Denable-tui=false`, and `just test-all` (130 C/unit + 36 CLI contract tests passed). Validated by temp-root quickd admin smoke: prepare/activate, list, sites get/delete, domains add/list/remove, public on/off, releases verify, admin stats, mint-dev-token, doctor.",covered,,,,,,,,
